100	40	0.38993
100	30	0.5665
100	20	1.0235
100	10	2.3852
100	5	3.0011
100	2	1.459
100	1	0.44549
100	0.7	0.12431
100	0.5	0.023779
125	20	1.7514
125	10	4.0693
125	5	4.475
125	2	2.0737
125	1	0.491
125	0.7	0.11253
125	0.5	0.016869
125	40	0.73959
125	30	0.97737
150	40	0.81911
150	30	1.583
150	25.7	1.7794
150	20	2.4674
150	10	5.9106
150	5	7.2882
150	2	2.6204
150	1	0.39287
150	0.5	0.019355
175	40	1.2936
175	30	1.9714
175	20	3.4037
175	10	7.5463
175	5	8.1014
175	2	2.8831
175	1	0.46672
200	40	1.5955
200	30	2.3779
200	20	4.7115
200	10	9.056
200	5	8.7644
200	2	3.129
200	1	0.40136
225	40	1.2352
225	30	2.9394
225	20	4.9006
225	10	10.922
225	5	9.9428
225	2	3.3492
225	1	0.38
250	20	5.7043
250	10	12.108
250	5	11.957
250	2	3.6737
250	1	0.27959
300	10	13.119
300	5	12.944
300	2	3.7034
50	5	0.33083
50	2	0.30226
50	1	0.13177
50	0.7	0.067932
50	0.5	0.031939
50	0.3	0.0042579
60	5	0.74076
60	2	0.53463
60	1	0.21612
60	0.7	0.10456
60	0.5	0.041059
60	0.3	0.004501
70	5	1.1946
70	2	0.79085
70	1	0.29427
70	0.7	0.12321
70	0.5	0.037834
90	40	0.27539
90	20	0.7723
